student_id,degree,specialization,cgpa,academic_performance,Python,Java,C_CPP,SQL,HTML_CSS,JavaScript,Excel,Power_BI,Statistics,Machine_Learning,Deep_Learning,Cloud_Computing,Networking,Cybersecurity,Git_GitHub,Communication,Problem_Solving,Teamwork,Leadership,Analytical_Thinking,interests,career_label
STU1031,B.Sc Information Technology,Web Technologies,7.25,First Class,3,1,0,4,1,0,4,4,4,3,0,2,1,1,1,4,3,2,2,5,Data Analysis; Database Management; Cybersecurity; Cloud Computing,Data Analyst
STU1905,B.Sc Computer Science,Web Technologies,8.31,First Class,1,1,1,5,1,0,3,2,3,1,0,3,2,3,2,3,4,3,3,4,Database Management; Cybersecurity,Database Administrator
STU1368,B.Sc Information Technology,Cloud & Security,9.9,Distinction,5,2,1,4,0,1,1,2,5,3,3,2,2,1,2,4,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Data Analysis,Data Scientist
STU2135,B.Sc Information Technology,Data Science,8.47,First Class,2,0,1,2,1,3,1,2,2,1,0,5,4,3,3,3,4,5,4,4,Cloud Computing; Software Development,Cloud Engineer
STU2488,B.Sc Information Technology,Cloud & Security,7.02,First Class,5,4,1,3,2,0,2,3,5,5,5,3,2,2,4,4,5,4,2,4,Machine Learning; Artificial Intelligence; Data Science; Cybersecurity,Machine Learning Engineer
STU1486,B.Sc Information Technology,Cloud & Security,5.93,Pass,4,4,4,2,3,4,0,0,3,1,0,2,2,2,3,3,5,5,3,5,Software Development; Database Management,Software Developer
STU2549,B.Sc Information Technology,Data Science,7.83,First Class,5,3,2,3,0,2,2,2,3,4,5,2,2,0,3,4,4,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Cybersecurity; Database Management,Machine Learning Engineer
STU1375,B.Sc Information Technology,Information Technology,8.11,First Class,5,3,1,3,1,1,2,3,5,4,5,3,2,1,5,4,4,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Data Analysis,Data Scientist
STU1030,B.Sc Information Technology,Cloud & Security,8.26,First Class,2,2,0,4,1,2,3,4,4,2,0,3,2,1,2,5,4,2,2,5,Data Analysis; Database Management; Web Development,Data Analyst
STU2143,B.Sc Information Technology,Web Technologies,6.17,Second Class,3,2,1,2,0,2,2,1,0,1,0,5,3,4,4,3,4,5,2,3,Cloud Computing,Cloud Engineer
STU1959,B.Sc Information Technology,Information Technology,8.82,Distinction,2,2,2,4,1,2,3,3,2,0,1,3,3,2,3,3,4,3,3,3,Database Management; Data Analysis,Database Administrator
STU2467,B.Sc Information Technology,Web Technologies,6.51,Second Class,5,3,3,3,1,2,1,2,3,5,4,2,1,3,2,2,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Cloud Computing,Machine Learning Engineer
STU1333,B.Sc Information Technology,Web Technologies,7.37,First Class,5,2,0,4,2,0,3,4,5,5,4,3,0,0,4,4,4,3,2,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity,Data Scientist
STU1713,B.Sc Computer Science,Cloud & Security,8.64,Distinction,3,1,2,3,5,5,1,1,1,0,0,0,3,1,4,3,4,4,3,3,Web Development; Software Development; Artificial Intelligence,Web Developer
STU1071,B.Sc Information Technology,Cloud & Security,7.7,First Class,3,1,0,4,0,1,4,4,3,2,0,2,0,1,2,4,4,3,3,5,Data Analysis; Database Management; Software Development; Web Development,Data Analyst
STU1290,B.Sc Computer Science,Data Science,7.98,First Class,4,2,0,4,1,1,3,2,5,4,4,3,1,0,4,4,4,3,4,5,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing,Data Scientist
STU1988,B.Sc Computer Science,Web Technologies,6.84,Second Class,2,2,1,5,1,1,3,2,2,1,0,3,3,3,3,3,4,3,3,4,Database Management,Database Administrator
STU2527,B.Sc Information Technology,Web Technologies,8.97,Distinction,5,4,3,4,1,2,1,0,4,4,5,5,2,1,4,3,5,4,3,4,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
STU1417,B.Sc Information Technology,Information Technology,8.7,Distinction,2,5,4,3,3,4,1,0,2,1,1,3,1,3,4,3,4,5,3,4,Software Development; Web Development; Cloud Computing,Software Developer
STU2088,B.Sc Information Technology,Web Technologies,6.89,Second Class,4,0,1,2,0,2,2,1,0,0,0,4,2,4,4,3,4,4,3,5,Cloud Computing,Cloud Engineer
STU1325,B.Sc Information Technology,Data Science,7.59,First Class,4,0,1,3,1,1,2,1,5,4,4,3,1,1,3,4,4,3,3,5,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
STU1618,B.Sc Information Technology,Information Technology,8.25,First Class,2,2,2,3,3,5,0,1,0,2,0,0,2,1,4,4,3,4,3,3,Web Development; Software Development; Machine Learning; Cybersecurity,Web Developer
STU1381,B.Sc Computer Science,Cloud & Security,6.48,Second Class,5,2,1,4,0,1,3,2,5,5,4,3,1,0,4,4,5,4,3,4,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
STU1174,B.Sc Information Technology,Web Technologies,8.03,First Class,2,0,0,5,1,1,4,4,4,3,0,2,0,2,1,3,4,3,2,5,Data Analysis; Database Management; Web Development; Cybersecurity,Data Analyst
STU1635,B.Sc Information Technology,Cloud & Security,9.16,Distinction,3,2,1,4,5,5,1,0,1,0,0,2,2,1,4,4,4,5,2,2,Web Development; Software Development,Web Developer
STU1702,B.Sc Computer Science,Cloud & Security,7.6,First Class,3,2,0,2,5,5,1,0,2,2,0,2,2,2,5,2,4,4,3,4,Web Development; Software Development; Database Management; Data Analysis,Web Developer
STU2522,B.Sc Information Technology,Software Engineering,7.76,First Class,5,2,3,5,1,1,3,2,4,5,5,2,2,2,2,4,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Software Development; Cloud Computing,Machine Learning Engineer
STU1024,B.Sc Information Technology,Information Technology,6.4,Second Class,2,1,1,4,2,0,4,4,4,0,0,1,1,1,2,3,5,3,2,4,Data Analysis; Database Management; Cybersecurity,Data Analyst
STU2524,BCA,Web Technologies,7.04,First Class,5,1,2,4,1,3,2,3,3,4,5,3,2,2,4,2,4,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Data Analysis; Software Development,Machine Learning Engineer
STU1033,B.Sc Information Technology,Information Technology,6.72,Second Class,3,0,1,4,1,2,4,5,4,2,0,1,1,1,2,4,5,3,2,5,Data Analysis; Database Management; Cybersecurity; Artificial Intelligence,Data Analyst
STU1567,B.Sc Information Technology,Information Technology,7.58,First Class,4,2,3,3,2,3,1,2,2,1,0,1,0,0,4,3,4,4,4,3,Software Development; Data Science,Software Developer
STU1100,B.Sc Information Technology,Software Engineering,6.43,Second Class,4,0,0,4,1,0,3,3,5,2,0,2,1,0,2,4,4,3,2,5,Data Analysis; Database Management; Cloud Computing,Data Analyst
STU1519,B.Sc Information Technology,Software Engineering,7.66,First Class,4,2,4,2,2,2,0,1,2,1,0,2,2,2,2,3,5,3,2,3,Software Development; Artificial Intelligence,Software Developer
STU2188,B.Sc Information Technology,Web Technologies,7.45,First Class,2,2,1,3,0,2,1,1,2,1,0,5,4,3,4,3,3,5,4,4,Cloud Computing; Database Management,Cloud Engineer
STU2353,B.Sc Information Technology,Web Technologies,7.71,First Class,3,1,2,4,0,3,1,0,2,0,0,3,5,5,2,2,5,3,3,5,Cybersecurity; Cloud Computing; Software Development; Data Science,Cybersecurity Analyst
STU2176,B.Sc Information Technology,Data Science,5.5,Pass,3,2,1,2,1,2,1,1,0,1,0,5,4,2,4,3,4,4,3,4,Cloud Computing; Machine Learning; Data Science,Cloud Engineer
STU1808,B.Sc Information Technology,Cloud & Security,7.16,First Class,2,2,1,5,1,1,4,2,1,1,0,2,3,3,3,3,5,4,4,3,Database Management; Web Development; Cybersecurity,Database Administrator
STU1395,B.Sc Computer Science,Web Technologies,7.86,First Class,5,3,1,4,1,1,1,4,3,5,4,4,0,1,4,4,4,3,3,4,Data Science; Artificial Intelligence; Machine Learning; Web Development,Data Scientist
STU2396,B.Sc Information Technology,Web Technologies,8.21,First Class,1,2,3,4,1,0,1,1,2,1,0,2,5,4,1,3,5,3,2,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
STU2453,B.Sc Information Technology,Data Science,8.98,Distinction,4,3,1,4,2,2,0,3,3,5,5,4,2,1,4,2,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Data Analysis,Machine Learning Engineer
STU1353,B.Sc Information Technology,Software Engineering,8.04,First Class,5,1,1,3,1,0,3,2,5,5,3,3,0,1,3,4,5,4,3,5,Data Science; Artificial Intelligence; Machine Learning; Web Development,Data Scientist
STU1571,B.Sc Information Technology,Web Technologies,8.07,First Class,4,4,5,4,1,3,1,1,2,1,0,1,2,1,3,3,4,4,3,4,Software Development; Web Development,Software Developer
STU1416,B.Sc Information Technology,Cloud & Security,7.68,First Class,3,4,4,3,2,3,1,0,2,1,0,2,2,1,4,4,5,3,2,5,Software Development,Software Developer
STU1612,B.Sc Information Technology,Information Technology,7.04,First Class,3,2,0,3,5,4,0,2,0,2,0,2,2,0,4,3,5,4,2,3,Web Development; Software Development; Artificial Intelligence,Web Developer
STU1301,B.Sc Information Technology,Software Engineering,9.16,Distinction,5,1,1,5,1,1,3,2,5,5,5,2,1,1,5,3,4,3,4,5,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
STU1070,B.Sc Information Technology,Data Science,6.65,Second Class,3,1,0,4,1,1,4,4,4,2,0,2,0,1,2,4,4,4,2,5,Data Analysis; Database Management,Data Analyst
STU2494,B.Sc Information Technology,Software Engineering,5.88,Pass,5,3,4,4,1,3,2,2,4,5,4,3,2,2,3,2,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Web Development,Machine Learning Engineer
STU2037,B.Sc Information Technology,Cloud & Security,8.78,Distinction,3,1,0,2,2,2,2,0,1,1,1,4,4,2,4,4,4,5,4,3,Cloud Computing; Database Management; Software Development,Cloud Engineer
STU1783,B.Sc Information Technology,Web Technologies,6.98,Second Class,3,1,2,2,4,5,1,0,1,2,0,2,2,2,4,3,3,4,1,3,Web Development; Software Development,Web Developer
STU1060,B.Sc Information Technology,Data Science,5.52,Pass,4,1,0,4,1,0,4,5,3,2,0,2,0,1,2,4,4,3,3,5,Data Analysis; Database Management; Artificial Intelligence,Data Analyst
STU1637,B.Sc Information Technology,Software Engineering,7.23,First Class,4,1,0,1,3,3,1,1,1,1,0,2,2,2,2,4,4,4,2,3,Web Development; Software Development,Web Developer
STU2019,B.Sc Information Technology,Software Engineering,7.76,First Class,3,2,0,2,1,2,1,1,1,0,0,5,4,3,2,2,3,5,3,5,Cloud Computing; Machine Learning; Artificial Intelligence,Cloud Engineer
STU1760,B.Sc Information Technology,Data Science,7.53,First Class,3,1,2,3,4,5,0,1,2,2,0,2,2,1,5,3,4,5,1,3,Web Development; Software Development; Database Management; Data Analysis,Web Developer
STU1678,B.Sc Computer Science,Data Science,7.07,First Class,3,1,1,3,5,5,1,1,0,0,0,3,2,1,5,2,3,5,2,3,Web Development; Software Development; Data Analysis; Artificial Intelligence,Web Developer
STU2293,B.Sc Information Technology,Information Technology,7.12,First Class,3,2,2,3,2,1,0,0,1,2,0,3,5,5,3,3,5,2,4,5,Cybersecurity; Cloud Computing; Software Development,Cybersecurity Analyst
STU1528,B.Sc Information Technology,Information Technology,6.38,Second Class,4,3,3,3,1,3,0,0,1,2,0,2,1,2,4,3,4,5,3,5,Software Development,Software Developer
STU2554,B.Sc Computer Science,Data Science,7.49,First Class,5,4,3,2,1,0,3,1,4,3,5,4,2,0,5,4,5,4,3,4,Machine Learning; Artificial Intelligence; Data Science; Software Development; Data Analysis,Machine Learning Engineer
STU1818,B.Sc Computer Science,Information Technology,7.92,First Class,2,2,0,4,2,0,2,2,3,1,1,3,2,3,3,3,4,3,3,4,Database Management; Cybersecurity,Database Administrator
STU1245,B.Sc Information Technology,Information Technology,7.88,First Class,5,1,1,5,1,0,3,4,5,5,5,4,1,1,4,4,5,3,3,4,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing,Data Scientist
STU2044,B.Sc Information Technology,Information Technology,6.77,Second Class,1,2,1,1,1,2,1,0,2,2,0,5,4,3,4,2,3,4,3,4,Cloud Computing; Data Science,Cloud Engineer
STU2411,B.Sc Information Technology,Cloud & Security,7.83,First Class,5,3,4,4,2,2,2,2,3,5,5,4,2,2,4,2,5,3,3,5,Machine Learning; Artificial Intelligence; Data Science; Software Development,Machine Learning Engineer
STU2074,B.Sc Computer Science,Software Engineering,7.05,First Class,3,0,1,2,1,2,0,0,0,1,0,5,4,3,4,3,4,4,4,3,Cloud Computing,Cloud Engineer
STU2463,B.Sc Information Technology,Data Science,7.83,First Class,5,3,1,4,0,2,2,2,3,5,3,2,2,3,4,3,4,3,2,5,Machine Learning; Artificial Intelligence; Data Science; Cybersecurity,Machine Learning Engineer
STU2430,B.Sc Information Technology,Data Science,7.8,First Class,5,3,3,4,1,2,2,1,5,3,5,4,3,2,5,2,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Database Management,Machine Learning Engineer
STU2206,B.Sc Information Technology,Web Technologies,7.36,First Class,2,3,3,3,1,0,1,1,0,0,0,2,5,5,3,2,5,3,3,4,Cybersecurity; Cloud Computing; Database Management,Cybersecurity Analyst
STU2108,B.Sc Computer Science,Web Technologies,6.85,Second Class,4,2,1,2,1,1,0,1,1,0,0,4,4,3,3,3,4,3,3,3,Cloud Computing; Machine Learning,Cloud Engineer
STU2399,B.Sc Information Technology,Information Technology,7.17,First Class,1,1,3,3,2,3,1,1,2,1,0,3,5,4,2,2,5,3,3,5,Cybersecurity; Cloud Computing; Data Science,Cybersecurity Analyst
STU1536,BCA,Cloud & Security,7.96,First Class,4,2,2,3,2,3,2,0,1,1,0,2,3,3,2,2,5,4,2,4,Software Development; Cybersecurity,Software Developer
STU2568,B.Sc Information Technology,Cloud & Security,7.79,First Class,5,2,3,5,1,1,2,2,3,5,5,3,2,2,5,3,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Cybersecurity,Machine Learning Engineer
STU2304,B.Sc Information Technology,Cloud & Security,8.48,First Class,2,2,2,3,3,2,0,2,2,0,0,3,5,5,2,4,5,3,3,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
STU1299,B.Sc Information Technology,Data Science,6.86,Second Class,5,3,0,4,1,0,4,3,5,5,3,3,0,1,4,4,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing,Data Scientist
STU1765,B.Sc Information Technology,Cloud & Security,7.52,First Class,4,3,1,1,5,5,0,1,1,2,0,3,1,0,5,2,4,4,3,3,Web Development; Software Development,Web Developer
STU1345,BCA,Information Technology,7.5,First Class,5,2,1,3,1,1,2,3,5,5,3,4,1,1,3,4,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Data Analysis; Web Development,Data Scientist
STU1531,B.Sc Information Technology,Web Technologies,6.96,Second Class,3,3,3,2,2,3,2,1,2,1,0,2,0,0,3,2,5,4,4,5,Software Development; Web Development; Data Analysis,Software Developer
STU2085,B.Sc Information Technology,Data Science,8.54,Distinction,3,1,1,2,1,1,1,1,0,2,0,5,5,3,4,3,4,3,3,4,Cloud Computing; Machine Learning,Cloud Engineer
STU1535,B.Sc Information Technology,Software Engineering,6.81,Second Class,4,4,4,3,2,4,1,1,2,0,0,3,1,3,4,3,5,4,3,4,Software Development; Database Management; Machine Learning,Software Developer
STU2286,B.Sc Information Technology,Software Engineering,7.35,First Class,4,3,4,3,2,0,1,0,3,1,0,3,5,5,3,3,5,3,4,5,Cybersecurity; Cloud Computing; Data Analysis; Machine Learning,Cybersecurity Analyst
STU1472,B.Sc Computer Science,Cloud & Security,6.57,Second Class,3,3,3,3,2,4,1,1,2,2,0,2,2,2,4,2,4,4,3,3,Software Development; Data Analysis,Software Developer
STU1611,B.Sc Information Technology,Data Science,7.16,First Class,3,1,1,1,5,5,1,1,0,0,0,2,2,3,2,3,4,4,3,3,Web Development; Software Development,Web Developer
STU1186,B.Sc Information Technology,Web Technologies,6.2,Second Class,2,1,0,4,1,1,3,3,2,2,0,3,1,1,3,4,5,3,2,4,Data Analysis; Database Management; Web Development,Data Analyst
STU1708,B.Sc Information Technology,Information Technology,8.85,Distinction,3,0,1,4,4,5,1,0,0,1,0,2,2,2,3,3,3,5,2,4,Web Development; Software Development; Artificial Intelligence,Web Developer
STU1050,B.Sc Computer Science,Information Technology,6.81,Second Class,4,1,0,4,1,1,5,2,5,2,0,2,1,2,3,4,4,3,3,5,Data Analysis; Database Management; Cybersecurity,Data Analyst
STU2115,B.Sc Information Technology,Software Engineering,7.3,First Class,2,0,0,2,0,2,1,1,1,0,0,5,5,3,5,3,5,3,3,5,Cloud Computing,Cloud Engineer
STU1819,B.Sc Information Technology,Information Technology,7.47,First Class,3,2,0,5,1,1,4,0,2,0,0,3,4,3,3,4,4,3,3,5,Database Management; Cloud Computing; Machine Learning,Database Administrator
STU1125,B.Sc Information Technology,Software Engineering,7.53,First Class,4,2,0,4,1,1,3,4,4,3,0,2,1,1,2,4,4,4,2,5,Data Analysis; Database Management; Software Development,Data Analyst
STU1904,B.Sc Information Technology,Software Engineering,7.8,First Class,2,2,0,5,1,1,3,2,2,1,0,4,3,4,1,3,4,2,3,4,Database Management; Cloud Computing,Database Administrator
STU1340,B.Sc Information Technology,Software Engineering,6.27,Second Class,5,3,1,4,1,1,2,3,3,4,5,3,1,1,4,4,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity,Data Scientist
STU1835,B.Sc Information Technology,Cloud & Security,6.93,Second Class,1,0,0,4,0,0,3,3,2,0,0,3,3,4,1,3,4,4,3,4,Database Management; Data Science,Database Administrator
STU1908,B.Sc Information Technology,Software Engineering,7.01,First Class,3,2,0,4,1,1,4,3,3,1,0,3,2,3,3,3,4,3,3,5,Database Management; Software Development,Database Administrator
STU1310,B.Sc Information Technology,Information Technology,7.78,First Class,3,2,1,4,0,2,3,4,5,5,4,2,1,1,4,5,5,3,2,5,Data Science; Artificial Intelligence; Machine Learning; Software Development,Data Scientist
STU1367,B.Sc Information Technology,Software Engineering,8.69,Distinction,4,0,1,3,2,0,3,1,4,5,4,1,0,0,4,4,4,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity; Web Development,Data Scientist
STU1362,B.Sc Information Technology,Cloud & Security,8.47,First Class,5,1,1,4,2,1,3,3,5,5,4,4,1,2,5,5,5,3,4,5,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing,Data Scientist
STU1602,BCA,Information Technology,6.32,Second Class,3,1,1,3,5,5,1,2,1,1,1,3,0,1,4,3,4,5,1,3,Web Development; Software Development,Web Developer
STU2178,B.Sc Information Technology,Software Engineering,7.38,First Class,3,2,1,2,1,2,1,1,0,1,0,5,3,2,4,2,4,4,3,4,Cloud Computing,Cloud Engineer
STU2406,B.Sc Information Technology,Cloud & Security,7.82,First Class,3,3,3,4,2,1,3,2,3,5,5,2,1,2,4,4,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Cybersecurity; Data Analysis,Machine Learning Engineer
STU1406,B.Sc Information Technology,Cloud & Security,6.31,Second Class,4,3,4,2,2,3,1,1,1,0,1,1,0,3,4,3,4,4,3,4,Software Development,Software Developer
STU2117,B.Sc Information Technology,Data Science,7.32,First Class,3,3,1,2,2,2,0,0,0,1,0,5,4,4,3,4,3,4,3,4,Cloud Computing; Web Development,Cloud Engineer
STU2340,B.Sc Information Technology,Data Science,6.69,Second Class,3,2,2,4,3,3,1,0,2,1,0,3,5,4,3,4,5,3,3,5,Cybersecurity; Cloud Computing; Data Analysis,Cybersecurity Analyst
STU1562,B.Sc Computer Science,Cloud & Security,7.79,First Class,3,2,4,4,1,1,0,1,2,0,0,2,2,2,4,3,5,3,3,4,Software Development,Software Developer
STU2139,BCA,Data Science,6.53,Second Class,3,1,1,2,0,3,0,0,1,1,1,5,3,4,5,2,4,4,3,5,Cloud Computing,Cloud Engineer
STU1248,B.Sc Computer Science,Data Science,7.74,First Class,4,3,1,3,0,1,2,3,4,4,4,3,1,1,5,4,5,3,2,4,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing,Data Scientist
STU1110,B.Sc Information Technology,Information Technology,5.67,Pass,2,1,0,5,2,1,4,4,5,2,0,1,1,1,2,3,5,2,2,5,Data Analysis; Database Management; Cybersecurity,Data Analyst
STU1221,B.Sc Information Technology,Data Science,7.62,First Class,3,2,0,4,2,1,3,3,3,4,5,3,0,1,3,4,5,4,3,5,Data Science; Artificial Intelligence; Machine Learning; Database Management,Data Scientist
STU1204,B.Sc Information Technology,Software Engineering,6.99,Second Class,5,1,1,4,1,2,2,3,5,5,3,3,1,0,4,4,5,4,3,5,Data Science; Artificial Intelligence; Machine Learning; Database Management,Data Scientist
STU1848,B.Sc Information Technology,Information Technology,7.28,First Class,3,0,1,5,2,2,3,3,2,0,0,3,3,3,3,4,4,4,4,4,Database Management; Cybersecurity,Database Administrator
STU2226,B.Sc Computer Science,Cloud & Security,8.12,First Class,3,2,2,2,1,0,1,1,1,0,0,2,4,5,1,3,4,4,3,4,Cybersecurity; Cloud Computing; Web Development,Cybersecurity Analyst
STU1276,B.Sc Information Technology,Data Science,7.05,First Class,5,2,1,3,2,0,3,3,4,4,4,3,1,1,3,3,5,3,3,4,Data Science; Artificial Intelligence; Machine Learning; Data Analysis,Data Scientist
STU1463,B.Sc Information Technology,Information Technology,7.56,First Class,3,4,4,2,2,3,1,1,0,1,0,2,2,1,4,2,5,4,3,5,Software Development; Data Science; Cloud Computing,Software Developer
STU2365,B.Sc Computer Science,Web Technologies,6.54,Second Class,3,3,4,3,2,1,2,1,2,0,0,2,5,4,3,2,5,2,4,5,Cybersecurity; Cloud Computing; Database Management,Cybersecurity Analyst
STU1351,B.Sc Computer Science,Software Engineering,8.09,First Class,5,3,0,4,2,0,1,3,5,4,5,3,1,1,4,3,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity; Cloud Computing,Data Scientist
STU1271,B.Sc Computer Science,Data Science,7.76,First Class,5,1,2,5,2,1,3,3,5,5,4,1,0,1,4,5,4,2,2,4,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
STU1599,B.Sc Information Technology,Data Science,5.67,Pass,3,5,2,4,2,3,2,0,2,1,0,2,2,2,4,3,5,5,3,3,Software Development; Machine Learning,Software Developer
STU1052,B.Sc Information Technology,Cloud & Security,6.95,Second Class,3,0,0,2,1,1,4,4,4,2,1,1,0,0,0,4,5,2,1,5,Data Analysis; Database Management; Cybersecurity; Web Development,Data Analyst
STU1077,B.Sc Information Technology,Information Technology,6.97,Second Class,2,1,0,4,1,1,3,4,3,1,0,2,1,0,2,4,3,4,2,5,Data Analysis; Database Management; Data Science,Data Analyst
STU1552,B.Sc Information Technology,Cloud & Security,8.52,Distinction,5,5,4,3,1,3,2,2,2,1,0,2,2,2,3,3,5,5,3,5,Software Development,Software Developer
STU2490,B.Sc Information Technology,Data Science,6.51,Second Class,5,4,2,4,1,1,2,2,5,5,4,4,2,1,4,3,5,4,3,4,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
STU2461,B.Sc Information Technology,Web Technologies,8.03,First Class,5,3,2,3,1,1,2,1,4,5,5,3,1,2,5,3,4,4,3,5,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
STU2114,B.Sc Information Technology,Web Technologies,6.55,Second Class,3,2,1,2,1,2,1,2,2,1,0,5,2,2,4,3,5,4,3,4,Cloud Computing; Machine Learning; Data Science,Cloud Engineer
STU1615,B.Sc Information Technology,Web Technologies,7.85,First Class,3,2,1,2,5,4,0,1,1,2,0,3,2,2,4,2,4,4,1,3,Web Development; Software Development,Web Developer
STU1163,B.Sc Information Technology,Web Technologies,6.76,Second Class,4,1,0,5,1,1,4,4,4,2,1,3,1,1,2,3,3,3,2,4,Data Analysis; Database Management; Data Science; Software Development,Data Analyst
STU1124,B.Sc Information Technology,Information Technology,7.59,First Class,3,1,0,4,1,1,4,2,3,2,0,2,1,1,1,4,4,3,2,5,Data Analysis; Database Management; Software Development,Data Analyst
STU2410,B.Sc Information Technology,Software Engineering,8.36,First Class,5,4,3,2,1,1,1,3,3,5,5,3,2,0,4,3,5,4,2,5,Machine Learning; Artificial Intelligence; Data Science; Cybersecurity,Machine Learning Engineer
STU1439,B.Sc Information Technology,Cloud & Security,6.55,Second Class,3,5,5,1,1,2,0,2,2,1,1,2,2,2,4,3,4,4,2,3,Software Development; Cybersecurity,Software Developer
