degree,specialization,cgpa,academic_performance,Python,Java,C_CPP,SQL,HTML_CSS,JavaScript,Excel,Power_BI,Statistics,Machine_Learning,Deep_Learning,Cloud_Computing,Networking,Cybersecurity,Git_GitHub,Communication,Problem_Solving,Teamwork,Leadership,Analytical_Thinking,interests,career_label
B.Sc Information Technology,Cloud & Security,6.66,Second Class,3,1,0,3,1,2,1,0,0,1,0,5,4,4,5,3,5,4,2,3,Cloud Computing,Cloud Engineer
B.Sc Computer Science,Web Technologies,5.5,Pass,4,4,2,3,1,3,1,1,3,1,0,3,2,2,4,3,5,3,3,5,Software Development; Artificial Intelligence,Software Developer
B.Sc Information Technology,Web Technologies,5.9,Pass,2,2,1,5,1,0,3,2,2,1,0,3,2,3,2,3,5,3,4,3,Database Management; Software Development,Database Administrator
B.Sc Information Technology,Web Technologies,7.55,First Class,1,2,1,2,1,3,1,0,1,0,0,5,4,3,4,4,4,5,3,4,Cloud Computing; Machine Learning; Database Management,Cloud Engineer
B.Sc Information Technology,Software Engineering,7.8,First Class,2,3,2,1,5,4,1,1,2,0,0,2,2,2,3,3,5,5,3,3,Web Development; Software Development; Cybersecurity,Web Developer
B.Sc Information Technology,Cloud & Security,9.0,Distinction,4,4,3,3,0,3,2,0,3,3,5,4,2,3,4,3,5,3,4,4,Machine Learning; Artificial Intelligence; Data Science; Database Management,Machine Learning Engineer
B.Sc Information Technology,Software Engineering,7.53,First Class,4,2,0,4,1,1,3,4,4,3,0,2,1,1,2,4,4,4,2,5,Data Analysis; Database Management; Software Development,Data Analyst
B.Sc Information Technology,Cloud & Security,8.47,First Class,5,1,1,4,2,1,3,3,5,5,4,4,1,2,5,5,5,3,4,5,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing,Data Scientist
B.Sc Information Technology,Web Technologies,7.28,First Class,2,2,1,2,1,2,0,0,0,1,0,3,3,4,4,3,5,4,3,3,Cloud Computing; Data Science; Artificial Intelligence,Cloud Engineer
BCA,Data Science,6.19,Second Class,3,2,1,1,5,5,1,1,1,1,0,2,1,1,4,2,5,4,3,2,Web Development; Software Development; Database Management,Web Developer
B.Sc Information Technology,Data Science,7.91,First Class,3,0,2,3,1,2,1,1,1,1,0,3,4,5,3,2,5,4,2,5,Cybersecurity; Cloud Computing; Web Development,Cybersecurity Analyst
B.Sc Information Technology,Software Engineering,6.87,Second Class,4,2,2,4,0,1,3,1,4,5,3,2,1,1,4,4,5,3,2,5,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
BCA,Data Science,7.47,First Class,5,2,1,4,1,1,3,3,5,5,3,4,0,1,4,4,5,2,3,5,Data Science; Artificial Intelligence; Machine Learning; Web Development; Cybersecurity,Data Scientist
B.Sc Information Technology,Web Technologies,6.34,Second Class,4,4,4,4,3,1,2,0,3,0,0,1,1,2,5,3,5,4,3,3,Software Development,Software Developer
B.Sc Information Technology,Software Engineering,6.96,Second Class,5,2,3,4,2,1,1,2,4,5,5,4,2,1,4,2,5,3,4,5,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
B.Sc Information Technology,Information Technology,6.79,Second Class,2,2,3,3,2,3,1,0,2,1,0,3,4,5,3,4,5,3,2,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Computer Science,Software Engineering,6.63,Second Class,3,3,2,2,1,2,0,0,2,0,0,2,5,5,2,3,5,3,3,5,Cybersecurity; Cloud Computing; Data Analysis,Cybersecurity Analyst
B.Sc Information Technology,Data Science,7.67,First Class,4,1,1,4,2,1,3,3,5,5,4,2,1,0,4,4,5,4,2,5,Data Science; Artificial Intelligence; Machine Learning; Software Development; Cloud Computing,Data Scientist
B.Sc Information Technology,Data Science,8.99,Distinction,5,2,1,4,2,1,4,2,5,5,2,3,1,1,4,4,4,2,3,5,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Computer Science,Data Science,7.94,First Class,2,3,0,5,1,1,2,2,1,1,0,3,3,3,3,2,3,3,4,4,Database Management; Data Science,Database Administrator
BCA,Data Science,8.11,First Class,5,2,2,3,0,1,1,4,5,5,4,3,0,1,4,4,5,3,3,4,Data Science; Artificial Intelligence; Machine Learning; Database Management,Data Scientist
B.Sc Information Technology,Software Engineering,7.63,First Class,3,0,0,4,1,1,4,3,3,2,1,2,0,1,2,4,3,2,2,5,Data Analysis; Database Management; Artificial Intelligence,Data Analyst
B.Sc Information Technology,Web Technologies,6.01,Second Class,2,2,3,3,2,2,1,0,1,1,0,3,4,5,4,3,5,2,2,4,Cybersecurity; Cloud Computing; Data Science,Cybersecurity Analyst
B.Sc Information Technology,Information Technology,7.56,First Class,3,2,1,0,1,1,1,1,2,2,0,3,4,3,4,2,4,4,3,4,Cloud Computing; Data Science; Software Development,Cloud Engineer
B.Sc Information Technology,Information Technology,6.97,Second Class,2,1,0,4,1,1,3,4,3,1,0,2,1,0,2,4,3,4,2,5,Data Analysis; Database Management; Data Science,Data Analyst
B.Sc Information Technology,Data Science,6.59,Second Class,2,2,2,4,0,1,2,3,0,1,1,3,2,3,3,2,4,4,4,3,Database Management,Database Administrator
B.Sc Information Technology,Web Technologies,6.45,Second Class,5,4,2,4,3,3,2,1,3,0,0,2,0,2,4,3,4,5,2,4,Software Development; Database Management; Cybersecurity,Software Developer
B.Sc Information Technology,Cloud & Security,7.12,First Class,5,3,4,4,0,1,2,1,4,5,5,3,2,2,4,4,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
B.Sc Information Technology,Web Technologies,8.45,First Class,3,0,0,3,1,0,4,5,3,2,0,3,1,1,2,4,5,2,3,5,Data Analysis; Database Management; Cybersecurity,Data Analyst
B.Sc Information Technology,Web Technologies,6.51,Second Class,4,1,0,5,1,0,5,4,4,3,0,1,0,1,2,5,3,3,2,5,Data Analysis; Database Management,Data Analyst
B.Sc Computer Science,Software Engineering,9.19,Distinction,4,1,0,3,1,0,2,3,5,5,4,2,1,0,4,4,5,3,4,5,Data Science; Artificial Intelligence; Machine Learning; Software Development,Data Scientist
B.Sc Computer Science,Software Engineering,9.13,Distinction,2,1,0,3,5,5,1,1,1,1,0,0,2,2,4,2,4,4,3,4,Web Development; Software Development; Artificial Intelligence,Web Developer
B.Sc Information Technology,Software Engineering,6.88,Second Class,5,4,3,4,1,3,1,2,4,5,5,4,1,3,4,4,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Cloud Computing; Software Development,Machine Learning Engineer
B.Sc Computer Science,Software Engineering,7.3,First Class,3,2,4,3,2,3,2,1,2,0,0,0,1,1,4,2,4,3,3,4,Software Development; Web Development,Software Developer
B.Sc Information Technology,Software Engineering,7.71,First Class,5,3,3,5,0,2,2,2,4,5,5,3,1,1,2,3,5,3,3,5,Machine Learning; Artificial Intelligence; Data Science,Machine Learning Engineer
B.Sc Information Technology,Data Science,7.2,First Class,3,2,1,0,2,2,2,0,2,1,0,5,2,3,5,2,4,4,3,5,Cloud Computing; Machine Learning; Data Science,Cloud Engineer
B.Sc Computer Science,Information Technology,7.01,First Class,5,2,1,5,2,0,1,4,5,3,4,3,0,2,3,5,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity,Data Scientist
B.Sc Information Technology,Software Engineering,8.23,First Class,3,2,1,3,5,5,1,1,1,1,0,2,2,2,4,3,5,5,2,2,Web Development; Software Development; Data Analysis; Machine Learning,Web Developer
B.Sc Information Technology,Software Engineering,6.24,Second Class,4,2,0,2,2,3,1,1,1,1,0,5,4,3,4,2,4,4,2,4,Cloud Computing; Machine Learning; Data Analysis,Cloud Engineer
B.Sc Information Technology,Data Science,6.96,Second Class,3,2,2,2,1,1,0,1,1,0,0,5,4,3,4,3,4,4,2,4,Cloud Computing; Web Development,Cloud Engineer
B.Sc Computer Science,Web Technologies,6.76,Second Class,3,4,4,4,2,3,0,2,2,0,1,1,1,2,4,2,5,5,3,4,Software Development,Software Developer
B.Sc Computer Science,Web Technologies,8.59,Distinction,4,2,1,2,0,2,1,1,1,0,0,5,4,2,4,3,4,4,3,4,Cloud Computing; Software Development; Data Analysis,Cloud Engineer
B.Sc Information Technology,Web Technologies,8.03,First Class,2,2,1,5,0,1,3,2,2,1,0,3,4,2,3,3,5,2,3,5,Database Management; Machine Learning; Artificial Intelligence,Database Administrator
B.Sc Information Technology,Data Science,6.47,Second Class,3,2,2,3,0,1,0,2,0,1,0,5,3,2,4,2,3,3,3,4,Cloud Computing; Web Development,Cloud Engineer
B.Sc Information Technology,Software Engineering,7.18,First Class,3,1,0,4,1,1,4,4,2,1,0,2,0,0,3,5,4,4,1,5,Data Analysis; Database Management; Cybersecurity,Data Analyst
B.Sc Information Technology,Cloud & Security,6.93,Second Class,3,1,0,4,0,1,3,3,5,2,0,2,1,0,1,3,4,3,2,5,Data Analysis; Database Management; Cloud Computing; Web Development,Data Analyst
B.Sc Information Technology,Software Engineering,7.05,First Class,5,2,1,4,1,1,4,2,4,4,3,2,0,1,3,4,4,4,3,4,Data Science; Artificial Intelligence; Machine Learning; Data Analysis; Database Management,Data Scientist
B.Sc Computer Science,Cloud & Security,7.14,First Class,5,5,4,3,2,2,0,2,1,0,0,2,0,1,4,3,5,4,3,5,Software Development; Artificial Intelligence,Software Developer
B.Sc Information Technology,Data Science,6.65,Second Class,3,1,0,4,1,1,4,4,4,2,0,2,0,1,2,4,4,4,2,5,Data Analysis; Database Management,Data Analyst
B.Sc Information Technology,Data Science,6.71,Second Class,3,3,4,4,3,4,2,0,0,0,0,2,3,1,4,4,5,3,3,4,Software Development; Data Analysis,Software Developer
B.Sc Information Technology,Information Technology,7.05,First Class,2,0,0,4,0,1,5,4,4,2,0,2,1,0,2,4,5,4,2,5,Data Analysis; Database Management; Artificial Intelligence,Data Analyst
B.Sc Information Technology,Cloud & Security,8.18,First Class,1,2,1,5,1,0,2,2,3,1,0,3,3,3,3,3,4,2,4,4,Database Management; Data Science; Machine Learning,Database Administrator
B.Sc Information Technology,Software Engineering,7.01,First Class,3,2,0,4,1,1,4,3,3,1,0,3,2,3,3,3,4,3,3,5,Database Management; Software Development,Database Administrator
B.Sc Information Technology,Information Technology,5.56,Pass,3,0,1,1,1,2,0,2,1,0,1,4,2,3,3,4,3,3,4,4,Cloud Computing; Database Management; Artificial Intelligence,Cloud Engineer
B.Sc Information Technology,Web Technologies,6.51,Second Class,5,3,3,3,1,2,1,2,3,5,4,2,1,3,2,2,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Cloud Computing,Machine Learning Engineer
B.Sc Information Technology,Cloud & Security,7.46,First Class,3,5,3,2,1,3,0,0,2,0,0,2,2,1,3,4,4,5,2,5,Software Development; Cybersecurity,Software Developer
B.Sc Computer Science,Web Technologies,7.32,First Class,2,2,1,2,5,5,1,1,1,0,0,2,2,1,5,4,4,3,1,2,Web Development; Software Development; Cloud Computing,Web Developer
B.Sc Information Technology,Software Engineering,6.84,Second Class,4,0,1,2,0,3,1,1,1,1,0,5,4,2,4,4,4,3,4,4,Cloud Computing; Web Development,Cloud Engineer
B.Sc Information Technology,Software Engineering,6.77,Second Class,3,1,0,4,2,2,3,4,4,1,0,2,1,0,1,5,4,2,2,5,Data Analysis; Database Management,Data Analyst
B.Sc Computer Science,Software Engineering,8.94,Distinction,2,2,0,5,1,2,3,3,2,0,0,2,3,2,3,4,4,4,3,4,Database Management; Machine Learning,Database Administrator
B.Sc Computer Science,Information Technology,6.39,Second Class,2,1,0,2,5,4,2,0,1,1,0,2,2,3,4,2,4,4,3,3,Web Development; Software Development,Web Developer
BCA,Information Technology,7.12,First Class,3,3,3,2,1,2,0,0,3,0,0,3,4,3,2,3,5,3,2,4,Cybersecurity; Cloud Computing; Software Development,Cybersecurity Analyst
B.Sc Information Technology,Cloud & Security,7.42,First Class,5,2,0,5,1,0,2,2,4,5,4,3,1,1,4,3,5,3,2,4,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity; Web Development,Data Scientist
B.Sc Information Technology,Information Technology,9.51,Distinction,4,2,1,4,1,1,2,1,4,5,5,4,1,1,4,2,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Data Analysis; Cybersecurity,Machine Learning Engineer
B.Sc Information Technology,Software Engineering,7.25,First Class,5,2,1,4,1,2,2,3,5,5,3,1,0,0,5,4,5,3,3,4,Data Science; Artificial Intelligence; Machine Learning; Software Development,Data Scientist
B.Sc Information Technology,Software Engineering,6.81,Second Class,3,1,0,3,4,5,1,0,0,0,0,1,3,2,4,2,4,4,2,3,Web Development; Software Development; Artificial Intelligence,Web Developer
B.Sc Computer Science,Web Technologies,8.59,Distinction,3,2,1,3,1,1,4,3,5,3,4,2,2,0,3,4,5,3,3,4,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Information Technology,Cloud & Security,6.53,Second Class,4,2,0,5,0,0,3,2,4,0,0,1,0,0,2,3,5,4,1,5,Data Analysis; Database Management,Data Analyst
B.Sc Information Technology,Web Technologies,7.69,First Class,2,2,1,5,2,0,4,2,2,1,0,4,3,2,3,2,4,4,3,3,Database Management; Cybersecurity,Database Administrator
B.Sc Computer Science,Information Technology,8.21,First Class,3,2,4,3,2,0,1,0,1,1,0,4,5,5,2,2,5,3,4,5,Cybersecurity; Cloud Computing; Artificial Intelligence; Software Development,Cybersecurity Analyst
B.Sc Information Technology,Cloud & Security,9.86,Distinction,5,1,1,4,2,1,3,3,4,5,5,3,2,0,2,5,5,4,3,5,Data Science; Artificial Intelligence; Machine Learning; Cloud Computing; Web Development,Data Scientist
B.Sc Information Technology,Web Technologies,7.32,First Class,4,1,4,3,1,2,1,1,2,0,0,4,4,5,2,3,4,4,2,5,Cybersecurity; Cloud Computing; Data Science; Database Management,Cybersecurity Analyst
B.Sc Information Technology,Information Technology,7.47,First Class,5,3,3,5,1,1,2,0,5,5,5,4,0,2,3,3,5,4,3,5,Machine Learning; Artificial Intelligence; Data Science; Cybersecurity,Machine Learning Engineer
B.Sc Information Technology,Web Technologies,7.16,First Class,2,1,1,5,1,1,3,1,3,2,0,4,3,2,3,3,4,3,3,4,Database Management,Database Administrator
B.Sc Information Technology,Cloud & Security,6.89,Second Class,4,4,4,3,3,1,2,1,2,1,0,3,2,2,2,2,5,4,3,3,Software Development; Data Science,Software Developer
B.Sc Information Technology,Cloud & Security,7.83,First Class,2,2,1,4,5,5,0,0,1,2,0,1,1,2,4,3,4,4,3,3,Web Development; Software Development; Cloud Computing,Web Developer
B.Sc Information Technology,Data Science,8.09,First Class,5,2,1,4,2,1,2,4,5,3,4,4,1,1,4,4,5,2,3,5,Data Science; Artificial Intelligence; Machine Learning; Cybersecurity; Database Management,Data Scientist
B.Sc Computer Science,Software Engineering,7.05,First Class,3,0,1,2,1,2,0,0,0,1,0,5,4,3,4,3,4,4,4,3,Cloud Computing,Cloud Engineer
B.Sc Computer Science,Information Technology,7.64,First Class,5,1,0,4,0,1,1,3,5,5,4,3,0,0,4,4,5,3,3,5,Data Science; Artificial Intelligence; Machine Learning,Data Scientist
B.Sc Information Technology,Web Technologies,6.68,Second Class,4,3,2,3,1,3,1,2,2,0,0,2,2,2,4,3,5,4,2,4,Software Development,Software Developer
B.Sc Information Technology,Cloud & Security,7.52,First Class,4,3,1,1,5,5,0,1,1,2,0,3,1,0,5,2,4,4,3,3,Web Development; Software Development,Web Developer
B.Sc Information Technology,Cloud & Security,7.34,First Class,3,2,1,2,1,2,1,0,1,2,0,5,4,3,4,3,4,3,3,3,Cloud Computing; Machine Learning,Cloud Engineer
B.Sc Information Technology,Web Technologies,6.6,Second Class,1,2,1,2,5,5,0,1,0,0,0,2,2,2,3,2,4,3,2,3,Web Development; Software Development; Cloud Computing; Cybersecurity,Web Developer
B.Sc Computer Science,Cloud & Security,8.12,First Class,3,2,2,2,1,0,1,1,1,0,0,2,4,5,1,3,4,4,3,4,Cybersecurity; Cloud Computing; Web Development,Cybersecurity Analyst
B.Sc Information Technology,Cloud & Security,6.32,Second Class,4,2,3,4,2,2,2,1,2,0,0,3,4,4,3,3,5,4,3,5,Cybersecurity; Cloud Computing,Cybersecurity Analyst
B.Sc Information Technology,Information Technology,7.88,First Class,3,2,4,3,3,1,0,2,2,2,0,2,1,1,4,3,4,5,2,4,Software Development; Web Development,Software Developer
B.Sc Information Technology,Data Science,7.86,First Class,2,2,1,5,1,1,3,1,1,1,0,4,3,3,2,3,4,4,3,5,Database Management,Database Administrator
B.Sc Computer Science,Cloud & Security,6.38,Second Class,3,1,0,4,0,2,4,3,4,2,0,2,1,0,2,4,3,3,2,4,Data Analysis; Database Management; Machine Learning,Data Analyst
B.Sc Information Technology,Information Technology,8.7,Distinction,2,1,0,2,1,1,3,2,5,0,0,2,0,0,2,4,4,3,3,5,Data Analysis; Database Management; Machine Learning,Data Analyst
B.Sc Information Technology,Information Technology,7.15,First Class,4,4,3,4,3,4,1,1,0,1,0,2,3,2,4,2,4,4,3,5,Software Development; Database Management,Software Developer
B.Sc Information Technology,Software Engineering,7.56,First Class,3,1,3,4,1,3,0,1,2,1,0,3,5,5,3,4,5,3,4,5,Cybersecurity; Cloud Computing; Data Analysis,Cybersecurity Analyst
B.Sc Information Technology,Data Science,8.32,First Class,5,2,4,4,0,0,2,1,3,4,5,4,1,3,4,3,5,4,4,5,Machine Learning; Artificial Intelligence; Data Science; Database Management,Machine Learning Engineer
B.Sc Information Technology,Software Engineering,5.89,Pass,3,1,3,2,2,1,1,0,2,1,0,3,5,5,3,3,5,4,3,4,Cybersecurity; Cloud Computing; Machine Learning,Cybersecurity Analyst
B.Sc Information Technology,Data Science,8.14,First Class,2,2,0,1,1,3,1,1,1,0,0,3,5,3,4,3,3,4,4,5,Cloud Computing; Database Management,Cloud Engineer
B.Sc Information Technology,Data Science,7.3,First Class,3,2,1,2,1,2,1,1,0,0,1,5,3,3,5,3,4,3,3,5,Cloud Computing; Software Development; Data Science,Cloud Engineer
